Manufacturer,Name,Price (in Rupees),Compatible networks,Release Date,OS,Chipset,CPU,GPU,Memory (in GB),Storage (in GB),SIM,Battery (in mAh),Charging (in Watts),Display Size (in Inches),Display Type,Refresh Rate,Sound,Rear Camera (in MP),Front Camera (in MP),Connectivity,Water resistance
Sony,Sony Xperia 10 III,34999,2G / 3G / 4G LTE / 5G,2021-04-14,Android 11,Qualcomm Snapdragon690,Octa-core (2â€‰Ã—â€‰2.0GHzKryo560 Gold +6â€‰Ã—â€‰1.7GHzKryo560 Silver),Adreno619L,6,128,eSIM,4500,25.0,6.0,AMOLED,90,Loudspeaker,48,12,"Wi-Fi802.11 a/b/g/n/ac (2.4/5GHz)Bluetooth 5.1USB-CNFCGPSwithAssisted GPSGLONASSMobile FeliCa/Osaifu-Keitai(XQ-BT44, SO-52B, SOG04 and A102SO models only)",IP68
Sony,Sony Xperia PRO-I,134999,2G / 3G / 4G LTE / 5G,2021-12-10,Android 11,Qualcomm Snapdragon888,"Octa-core (1x 2.84 GHzGold Prime, 3x 2.42 GHzGold, 4x 1.8 GHzSilver)Kryo 680",Adreno660,12,512,eSIM,4500,25.0,6.5,OLED,120,Stereo Speakers,12,8,Wi-Fi802.11 a/b/g/n/ac/6 (2.4/5GHz)Bluetooth 5.2USB-CDisplayPortsupportNFCGPSwithAssisted GPSGalileoGLONASSBeiDou,IP68
Tecno,Tecno Camon 17,12999,2G / 3G / 4G LTE,2021-05-06,Android 11,Camon 17 and Camon 17P:MediaTek HelioG85Camon 17 Pro:MediaTek HelioG95,"Octa-core (2x2.0 GHzCortex-A75and 6x1.8 GHzCortex-A55, Octa-core (2x2.05 GHzCortex-A76and 6x2.0 GHz Cortex-A55","Mali-G52 MC2, Mali-G76 MC4",12,256,Dual SIM,4500,25.0,6.6,IPS LCD,60,Loudspeaker,48,8,Bluetooth 5.0Wi-Fi 802.11b/g/n3G/LTE,IP53
Tecno,Tecno Camon 18,11799,2G / 3G / 4G LTE,2021-10-06,Android 11,Camon 18:MediaTek HelioG88Camon 18P and Camon 18 Premier:MediaTek HelioG96,"Octa-core (2x2.0 GHzCortex-A75& 6x1.8 GHzCortex-A55, Octa-core (2x2.05 GHzCortex-A76& 6x2.0 GHz Cortex-A55","Mali-G52 MC2, Mali-G57 MC2",16,256,Dual SIM,4500,33.0,6.8,AMOLED,90,Loudspeaker,48,16,Bluetooth 5.0Wi-Fi 802.11b/g/n3G/LTE,IP53
Tecno,Tecno Phantom X,21999,2G / 3G / 4G LTE,2021-07-01,Android 11,MediaTek HelioG95,Octa-core (2x2.05Â GHzCortex-A76& 6x2.0Â GHzCortex-A55),Mali-G76 MC4,8,256,Dual SIM,4500,33.0,6.7,AMOLED,90,Loudspeaker,50,48,Bluetooth 5.0Wi-Fi 802.11b/g/n/ac,IP53
Tecno,Tecno Spark 8,9490,2G / 3G / 4G LTE,,Android 11,Spark 8:MediaTek HelioP22Spark 8P:MediaTek HelioG35,"Octa-core (4x1.8 GHzCortex-A53& 4x1.5 GHz Cortex-A53), Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53)",PowerVR GE8320,8,128,Dual SIM,4500,10.0,6.52,IPS LCD,60,Stereo Speakers,16,12,Bluetooth 5.0Wi-Fi 802.11b/g/n3G/LTE,IP53
Vivo,Vivo T1 (2021),14499,2G / 3G / 4G LTE / 5G,2021-10-20,Android 11,T1(China):QualcommSnapdragon778GT1x:MediatekDimensity 900T1(India):QualcommSnapdragon695,Octa-coreT1(China):Octa-core (4x2.4 GHz Kryo 670 & 4x1.8 GHz Kryo 670)T1x:Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55)T1(India):Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver),T1(China):Adreno642LT1x:Mali-G68 MC4T1(India):Adreno 619,12,256,Dual SIM,5000,10.0,6.67,IPS LCD,120,Stereo Speakers,48,12,"T1:Bluetooth 5.2,Wi-Fia/b/g/n/ac, A2DP, LE, aptX HD, aptX AdaptiveT1x:Bluetooth 5.2,Wi-Fia/b/g/n/ac, A2DP, LE, aptX HDT1 5G:Bluetooth 5.1,Wi-Fia/b/g/n/ac, A2DP, LE",IP53
Vivo,Vivo X60,37000,2G / 3G / 4G LTE / 5G,2021-01-08,Android 11,X60 and X60 Pro:SamsungExynos1080 (China)Qualcomm Snapdragon870 (International)X60 Pro+:Qualcomm Snapdragon 888,"Octa-core,X60 and X60 Pro:(1x 2.8Â GHzCortex-A78+ 3x 2.6Â GHz Cortex-A78 + 4x 2.0Â GHzCortex-A55) (China)(1x 3.2Â GHz + 3x 2.42Â GHz + 4x 1.8Â GHzKryo585) (International)X60 Pro+:(1x 2.84Â GHz + 3x 2.42Â GHz + 4x 1.8Â GHz Kryo 680)",X60 and X60 Pro:Mali-G78 MP10 (China)Adreno650 (International)X60 Pro+:Adreno 660,12,256,Dual SIM,4500,33.0,6.56,IPS LCD,120,Loudspeaker,48,12,"Bluetooth 5.1/5.2Wi-Fia/b/g/n/ac/6A2DP, LE, aptX HD",IP53
Vivo,Vivo X61,49990,2G / 3G / 4G LTE / 5G,2021-09-13,Android 11,X70 and X70 Pro:MediatekDimensity 1200-VivoX70 Pro+:Qualcomm Snapdragon 888+,"Octa-core,X70 and X70 Pro:(1x 3.0Â GHzCortex-A78+ 3x 2.6Â GHz Cortex-A78 + 4x 2.0Â GHzCortex-A55)X70 Pro+:(1x 3.0Â GHz + 3x 2.42Â GHz + 4x 1.8Â GHz Kryo 680)",X70 and X70 Pro:Mali-G77 MC9 (China)X70 Pro+:Adreno 660,12,256,Dual SIM,4500,33.0,6.56,AMOLED,120,Stereo Speakers,48,12,"Bluetooth 5.1/5.2Wi-Fia/b/g/n/ac/6A2DP, LE, aptX HD",IP53
Xiaomi,Xiaomi 11T,19499,2G / 3G / 4G LTE / 5G,2021-09-15,Android 13,11T:MediaTek[[List of MediaTek processors#Dimensity 1000 Series|Dimensity 1200-Ultra (6nm)11T Pro:QualcommSnapdragon888 (5nm),11T:Octa-core (1x3.00 GHz Cortex-A78 & 3x2.60 GHz Cortex-A78 & 4x2.00 GHz Cortex-A78)11T Pro:Octa-core (1x2.84 GHz Kryo-680 & 3x2.42 GHz Kryo 680 & 4x1.80 GHz Kryo 680),11T:Mali-G7711T Pro:Adreno 660,12,256,Dual SIM,5000,120.0,6.67,OLED,120,Stereo Speakers,108,16,"USB Type-C 2.0Wi-Fi802.11 a/b/g/n/ac/6,dual-band,Wi-Fi Direct,hotspotBluetooth 5.2, A2DP, LEA-GPS. Up to tri-band: GLONASS, BDS, GALILEO, QZSS, NavIC",IP53
Xiaomi,Xiaomi 12,46900,2G / 3G / 4G LTE / 5G,2021-12-28,Android 13,12/Pro:Snapdragon8 Gen 1 (4nm)12X:Snapdragon870 (7nm)12 Pro Dimensity:MediaTekDimensity 9000+(4nm),12/Pro:Octa-core (1x3.00 GHz Cortex-X2 & 3x2.50 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510)12X:Octa-core (1x3.2 GHz Cortex-X2 & 3x2.42 GHz Kryo 585 & 4x1.80 GHz Kryo 585)12 Pro Dimensity:Octa-core (1x3.20 GHz Cortex-X2 & 3x2.85 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),12/Pro:Adreno73012X:Adreno 65012 Pro Dimensity:Mali-G710 MC10,12,256,Dual SIM,4500,120.0,6.2,OLED,120,Stereo Speakers,50,32,"Wi-Fi802.11 a/b/g/n/ac/6,dual-band,Wi-Fi Direct,hotspotBluetooth 5.2/5.3(12 Pro Dimensity), A2DP, LEA-GPS. Up to tri-band: GLONASS, BDS, GALILEO, QZSS, NavIC",IP53
Xiaomi,Xiaomi Mi 11,44990,2G / 3G / 4G LTE / 5G,2021-07-04,Android 13,Qualcomm Snapdragon888 (SM8350),QualcommÂ®Kryoâ„¢ 6801x 2.84GHz+3Ã—2.42GHz+4x 1.80GHz,QualcommÂ®Adrenoâ„¢ 660 (840MHz),12,256,Dual SIM,4500,120.0,6.81,OLED,120,Stereo Speakers,48,12,"Wi-Fi 802.11a/b/g/n/ac/6 (2.4 & 5GHz), dual-band, WiFi Direct, hotspot Bluetooth V5.2, A2DP, Low-energy, aptX HD, aptX Adaptive",IP67
Xiaomi,Xiaomi Mi 11 Ultra,69999,2G / 3G / 4G LTE / 5G,2021-03-29,Android 12,Qualcomm Snapdragon888 (SM8350),QualcommÂ®Kryoâ„¢ 6801x 2.84GHz+3Ã—2.42GHz+4x 1.80GHz,QualcommÂ®Adrenoâ„¢ 660 (840MHz),12,512,Dual SIM,5000,67.0,6.81,OLED,120,Stereo Speakers,50,20,"Wi-Fi 802.11a/b/g/n/ac/6e (2.4 & 5GHz), dual-band, WiFi Direct, hotspot Bluetooth V5.2, A2DP, Low-energy, aptX HD, aptX Adaptive",IP67
Xiaomi,Xiaomi MIX 4,57490,2G / 3G / 4G LTE / 5G,2021-08-16,Android 11,Qualcomm Snapdragon888+,"Octa-core, (1x 2.99GHz Kryo 680 Prime â€“Cortex-X1derivative + 3x 2.42GHz Kryo 680 Gold â€“Cortex-A78derivative + 4x 1.8GHz Kryo 680 Silver â€“Cortex-A55derivative)",Adreno660,8,32,Dual SIM,4500,120.0,6.67,AMOLED,120,Stereo Speakers,108,20,"Wi-Fi 802.11a/b/g/n/ac/6e (2.4 & 5GHz), dual-band, WiFi Direct, hotspot,Ultra-widebandsupportBluetoothV5.2,A2DP, Low-energy, aptX HD, dual-band A-GPS, GLONASS, GALILEO, BDS, QZSS, NavIC, USB Type-C 2.0",IP67
